# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Dec  9 21:35:53 2021
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN disc_facility:  Discovery Facility
# COLUMN st_spectype:    Spectral Type
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
# COLUMN sy_bmag:        B (Johnson) Magnitude
# COLUMN sy_vmag:        V (Johnson) Magnitude
#
loc_rowid,pl_name,hostname,default_flag,disc_facility,st_spectype,st_lum,sy_bmag,sy_vmag
5263,Kepler-1052 b,Kepler-1052,0,Kepler,,,15.8270000,14.9320000
5264,Kepler-1052 b,Kepler-1052,0,Kepler,,,15.8270000,14.9320000
5265,Kepler-1052 b,Kepler-1052,0,Kepler,,,15.8270000,14.9320000
5266,Kepler-1052 b,Kepler-1052,0,Kepler,,,15.8270000,14.9320000
5267,Kepler-1052 b,Kepler-1052,0,Kepler,,,15.8270000,14.9320000
5268,Kepler-1052 b,Kepler-1052,0,Kepler,,-0.047,15.8270000,14.9320000
5269,Kepler-1052 b,Kepler-1052,0,Kepler,,-0.047,15.8270000,14.9320000
5270,Kepler-1053 b,Kepler-1053,0,Kepler,,,14.9720000,13.5760000
5271,Kepler-1053 b,Kepler-1053,0,Kepler,,,14.9720000,13.5760000
5272,Kepler-1053 b,Kepler-1053,0,Kepler,,-0.895,14.9720000,13.5760000
5273,Kepler-1053 b,Kepler-1053,0,Kepler,,-0.895,14.9720000,13.5760000
5274,Kepler-1053 b,Kepler-1053,0,Kepler,,,14.9720000,13.5760000
5275,Kepler-1053 b,Kepler-1053,1,Kepler,,,14.9720000,13.5760000
5276,Kepler-1053 b,Kepler-1053,0,Kepler,,,14.9720000,13.5760000
5277,Kepler-1053 b,Kepler-1053,0,Kepler,,,14.9720000,13.5760000
5278,Kepler-1053 b,Kepler-1053,0,Kepler,,-0.895,14.9720000,13.5760000
5279,Kepler-1053 b,Kepler-1053,0,Kepler,,,14.9720000,13.5760000
5280,Kepler-1054 b,Kepler-1054,0,Kepler,,,15.0900000,14.1430000
5281,Kepler-1054 b,Kepler-1054,0,Kepler,,0.369,15.0900000,14.1430000
5282,Kepler-1054 b,Kepler-1054,0,Kepler,,,15.0900000,14.1430000
5283,Kepler-1054 b,Kepler-1054,0,Kepler,,,15.0900000,14.1430000
5284,Kepler-1054 b,Kepler-1054,0,Kepler,,,15.0900000,14.1430000
5285,Kepler-1054 b,Kepler-1054,0,Kepler,,,15.0900000,14.1430000
5286,Kepler-1054 b,Kepler-1054,1,Kepler,,,15.0900000,14.1430000
5287,Kepler-1054 b,Kepler-1054,0,Kepler,,0.369,15.0900000,14.1430000
5288,Kepler-1054 b,Kepler-1054,0,Kepler,,,15.0900000,14.1430000
5289,Kepler-1055 b,Kepler-1055,0,Kepler,,,14.0790000,13.1940000
5290,Kepler-1055 b,Kepler-1055,0,Kepler,,,14.0790000,13.1940000
5291,Kepler-1055 b,Kepler-1055,0,Kepler,,-0.148,14.0790000,13.1940000
5292,Kepler-1055 b,Kepler-1055,0,Kepler,,,14.0790000,13.1940000
5293,Kepler-1055 b,Kepler-1055,1,Kepler,,,14.0790000,13.1940000
5294,Kepler-1055 b,Kepler-1055,0,Kepler,,,14.0790000,13.1940000
5295,Kepler-1055 b,Kepler-1055,0,Kepler,,-0.148,14.0790000,13.1940000
5296,Kepler-1055 b,Kepler-1055,0,Kepler,,,14.0790000,13.1940000
5297,Kepler-1055 b,Kepler-1055,0,Kepler,,-0.148,14.0790000,13.1940000
5298,Kepler-1055 b,Kepler-1055,0,Kepler,,,14.0790000,13.1940000
5299,Kepler-1056 b,Kepler-1056,0,Kepler,,,15.4260000,14.7720000
5300,Kepler-1056 b,Kepler-1056,0,Kepler,,0.227,15.4260000,14.7720000
5301,Kepler-1056 b,Kepler-1056,1,Kepler,,,15.4260000,14.7720000
5302,Kepler-1056 b,Kepler-1056,0,Kepler,,,15.4260000,14.7720000
5303,Kepler-1056 b,Kepler-1056,0,Kepler,,,15.4260000,14.7720000
5304,Kepler-1056 b,Kepler-1056,0,Kepler,,0.227,15.4260000,14.7720000
5305,Kepler-1056 b,Kepler-1056,0,Kepler,,,15.4260000,14.7720000
5306,Kepler-1056 b,Kepler-1056,0,Kepler,,0.227,15.4260000,14.7720000
5307,Kepler-1056 b,Kepler-1056,0,Kepler,,,15.4260000,14.7720000
5308,Kepler-1056 b,Kepler-1056,0,Kepler,,,15.4260000,14.7720000
5309,Kepler-1057 b,Kepler-1057,0,Kepler,,,16.4060000,15.8250000
5310,Kepler-1057 b,Kepler-1057,0,Kepler,,-0.006,16.4060000,15.8250000
5311,Kepler-1057 b,Kepler-1057,0,Kepler,,,16.4060000,15.8250000
5312,Kepler-1057 b,Kepler-1057,0,Kepler,,,16.4060000,15.8250000
5313,Kepler-1057 b,Kepler-1057,1,Kepler,,,16.4060000,15.8250000
5314,Kepler-1057 b,Kepler-1057,0,Kepler,,,16.4060000,15.8250000
5315,Kepler-1057 b,Kepler-1057,0,Kepler,,-0.006,16.4060000,15.8250000
5316,Kepler-1057 b,Kepler-1057,0,Kepler,,,16.4060000,15.8250000
5317,Kepler-1057 b,Kepler-1057,0,Kepler,,-0.006,16.4060000,15.8250000
5318,Kepler-1057 b,Kepler-1057,0,Kepler,,,16.4060000,15.8250000
5319,Kepler-1058 b,Kepler-1058,0,Kepler,,,16.5320000,15.8690000
5320,Kepler-1058 b,Kepler-1058,0,Kepler,,,16.5320000,15.8690000
5321,Kepler-1058 b,Kepler-1058,0,Kepler,,,16.5320000,15.8690000
5322,Kepler-1058 b,Kepler-1058,0,Kepler,,,16.5320000,15.8690000
5323,Kepler-1058 b,Kepler-1058,0,Kepler,,,16.5320000,15.8690000
5324,Kepler-1058 b,Kepler-1058,0,Kepler,,,16.5320000,15.8690000
5325,Kepler-1058 b,Kepler-1058,0,Kepler,,,16.5320000,15.8690000
5326,Kepler-1058 b,Kepler-1058,0,Kepler,,,16.5320000,15.8690000
5327,Kepler-1058 b,Kepler-1058,1,Kepler,,,16.5320000,15.8690000
5328,Kepler-1059 b,Kepler-1059,1,Kepler,,,16.2360000,15.7850000
5329,Kepler-1059 b,Kepler-1059,0,Kepler,,,16.2360000,15.7850000
5330,Kepler-1059 b,Kepler-1059,0,Kepler,,,16.2360000,15.7850000
5331,Kepler-1059 b,Kepler-1059,0,Kepler,,,16.2360000,15.7850000
5332,Kepler-1059 b,Kepler-1059,0,Kepler,,-0.520,16.2360000,15.7850000
5333,Kepler-1059 b,Kepler-1059,0,Kepler,,,16.2360000,15.7850000
5334,Kepler-1059 b,Kepler-1059,0,Kepler,,,16.2360000,15.7850000
5335,Kepler-1059 b,Kepler-1059,0,Kepler,,,16.2360000,15.7850000
5336,Kepler-1059 b,Kepler-1059,0,Kepler,,-0.520,16.2360000,15.7850000
5337,Kepler-1059 b,Kepler-1059,0,Kepler,,-0.520,16.2360000,15.7850000
5338,Kepler-106 b,Kepler-106,0,Kepler,,,13.5920000,12.9230000
5339,Kepler-106 b,Kepler-106,1,Kepler,,,13.5920000,12.9230000
5340,Kepler-106 b,Kepler-106,0,Kepler,,,13.5920000,12.9230000
5341,Kepler-106 b,Kepler-106,0,Kepler,,,13.5920000,12.9230000
5342,Kepler-106 b,Kepler-106,0,Kepler,,,13.5920000,12.9230000
5343,Kepler-106 b,Kepler-106,0,Kepler,,0.083,13.5920000,12.9230000
5344,Kepler-106 b,Kepler-106,0,Kepler,,0.083,13.5920000,12.9230000
5345,Kepler-106 b,Kepler-106,0,Kepler,,,13.5920000,12.9230000
5346,Kepler-106 b,Kepler-106,0,Kepler,,,13.5920000,12.9230000
5347,Kepler-106 b,Kepler-106,0,Kepler,,,13.5920000,12.9230000
5348,Kepler-106 c,Kepler-106,0,Kepler,,,13.5920000,12.9230000
5349,Kepler-106 c,Kepler-106,0,Kepler,,,13.5920000,12.9230000
5350,Kepler-106 c,Kepler-106,0,Kepler,,,13.5920000,12.9230000
5351,Kepler-106 c,Kepler-106,0,Kepler,,0.083,13.5920000,12.9230000
5352,Kepler-106 c,Kepler-106,0,Kepler,,0.083,13.5920000,12.9230000
5353,Kepler-106 c,Kepler-106,0,Kepler,,,13.5920000,12.9230000
5354,Kepler-106 c,Kepler-106,0,Kepler,,,13.5920000,12.9230000
5355,Kepler-106 c,Kepler-106,0,Kepler,,0.083,13.5920000,12.9230000
5356,Kepler-106 c,Kepler-106,0,Kepler,,,13.5920000,12.9230000
5357,Kepler-106 c,Kepler-106,1,Kepler,,,13.5920000,12.9230000
5358,Kepler-106 c,Kepler-106,0,Kepler,,,13.5920000,12.9230000
5359,Kepler-106 d,Kepler-106,0,Kepler,,,13.5920000,12.9230000
5360,Kepler-106 d,Kepler-106,0,Kepler,,,13.5920000,12.9230000
5361,Kepler-106 d,Kepler-106,1,Kepler,,,13.5920000,12.9230000
5362,Kepler-106 d,Kepler-106,0,Kepler,,,13.5920000,12.9230000
5363,Kepler-106 d,Kepler-106,0,Kepler,,0.083,13.5920000,12.9230000
5364,Kepler-106 d,Kepler-106,0,Kepler,,0.083,13.5920000,12.9230000
5365,Kepler-106 d,Kepler-106,0,Kepler,,,13.5920000,12.9230000
5366,Kepler-106 d,Kepler-106,0,Kepler,,,13.5920000,12.9230000
5367,Kepler-106 d,Kepler-106,0,Kepler,,,13.5920000,12.9230000
5368,Kepler-106 d,Kepler-106,0,Kepler,,,13.5920000,12.9230000
5369,Kepler-106 e,Kepler-106,0,Kepler,,,13.5920000,12.9230000
5370,Kepler-106 e,Kepler-106,0,Kepler,,0.083,13.5920000,12.9230000
5371,Kepler-106 e,Kepler-106,0,Kepler,,,13.5920000,12.9230000
5372,Kepler-106 e,Kepler-106,1,Kepler,,,13.5920000,12.9230000
5373,Kepler-106 e,Kepler-106,0,Kepler,,,13.5920000,12.9230000
5374,Kepler-106 e,Kepler-106,0,Kepler,,,13.5920000,12.9230000
5375,Kepler-106 e,Kepler-106,0,Kepler,,0.083,13.5920000,12.9230000
5376,Kepler-106 e,Kepler-106,0,Kepler,,0.083,13.5920000,12.9230000
5377,Kepler-106 e,Kepler-106,0,Kepler,,,13.5920000,12.9230000
5378,Kepler-106 e,Kepler-106,0,Kepler,,,13.5920000,12.9230000
5379,Kepler-106 e,Kepler-106,0,Kepler,,,13.5920000,12.9230000
5380,Kepler-1060 b,Kepler-1060,0,Kepler,,0.072,15.6620000,14.8270000
5381,Kepler-1060 b,Kepler-1060,0,Kepler,,0.072,15.6620000,14.8270000
5382,Kepler-1060 b,Kepler-1060,0,Kepler,,,15.6620000,14.8270000
5383,Kepler-1060 b,Kepler-1060,1,Kepler,,,15.6620000,14.8270000
5384,Kepler-1060 b,Kepler-1060,0,Kepler,,,15.6620000,14.8270000
5385,Kepler-1060 b,Kepler-1060,0,Kepler,,,15.6620000,14.8270000
5386,Kepler-1060 b,Kepler-1060,0,Kepler,,,15.6620000,14.8270000
5387,Kepler-1060 b,Kepler-1060,0,Kepler,,,15.6620000,14.8270000
5388,Kepler-1060 b,Kepler-1060,0,Kepler,,,15.6620000,14.8270000
5389,Kepler-1060 b,Kepler-1060,0,Kepler,,0.072,15.6620000,14.8270000
5390,Kepler-1061 b,Kepler-1061,0,Kepler,,,13.6770000,13.3190000
5391,Kepler-1061 b,Kepler-1061,0,Kepler,,,13.6770000,13.3190000
5392,Kepler-1061 b,Kepler-1061,0,Kepler,,,13.6770000,13.3190000
5393,Kepler-1061 b,Kepler-1061,0,Kepler,,,13.6770000,13.3190000
5394,Kepler-1061 b,Kepler-1061,1,Kepler,,,13.6770000,13.3190000
5395,Kepler-1061 b,Kepler-1061,0,Kepler,,0.088,13.6770000,13.3190000
5396,Kepler-1061 b,Kepler-1061,0,Kepler,,0.088,13.6770000,13.3190000
5397,Kepler-1061 b,Kepler-1061,0,Kepler,,0.088,13.6770000,13.3190000
5398,Kepler-1061 b,Kepler-1061,0,Kepler,,,13.6770000,13.3190000
5399,Kepler-1061 b,Kepler-1061,0,Kepler,,,13.6770000,13.3190000
5400,Kepler-1062 b,Kepler-1062,0,Kepler,,-0.682,16.5210000,15.0950000
5401,Kepler-1062 b,Kepler-1062,1,Kepler,,,16.5210000,15.0950000
5402,Kepler-1062 b,Kepler-1062,0,Kepler,,,16.5210000,15.0950000
5403,Kepler-1062 b,Kepler-1062,0,Kepler,,,16.5210000,15.0950000
5404,Kepler-1062 b,Kepler-1062,0,Kepler,,,16.5210000,15.0950000
5405,Kepler-1062 b,Kepler-1062,0,Kepler,,-0.682,16.5210000,15.0950000
5406,Kepler-1062 b,Kepler-1062,0,Kepler,,,16.5210000,15.0950000
5407,Kepler-1062 b,Kepler-1062,0,Kepler,,,16.5210000,15.0950000
5408,Kepler-1062 b,Kepler-1062,0,Kepler,,,16.5210000,15.0950000
5409,Kepler-1062 b,Kepler-1062,0,Kepler,,-0.682,16.5210000,15.0950000
5410,Kepler-1063 b,Kepler-1063,0,Kepler,,,13.5640000,13.0290000
5411,Kepler-1063 b,Kepler-1063,0,Kepler,,,13.5640000,13.0290000
5412,Kepler-1063 b,Kepler-1063,0,Kepler,,,13.5640000,13.0290000
5413,Kepler-1063 b,Kepler-1063,0,Kepler,,,13.5640000,13.0290000
5414,Kepler-1063 b,Kepler-1063,0,Kepler,,,13.5640000,13.0290000
5415,Kepler-1063 b,Kepler-1063,0,Kepler,,,13.5640000,13.0290000
5416,Kepler-1063 b,Kepler-1063,1,Kepler,,,13.5640000,13.0290000
5417,Kepler-1063 b,Kepler-1063,0,Kepler,,,13.5640000,13.0290000
5418,Kepler-1064 b,Kepler-1064,0,Kepler,,,14.5280000,13.9580000
5419,Kepler-1064 b,Kepler-1064,0,Kepler,,,14.5280000,13.9580000
5420,Kepler-1064 b,Kepler-1064,0,Kepler,,,14.5280000,13.9580000
5421,Kepler-1064 b,Kepler-1064,0,Kepler,,,14.5280000,13.9580000
5422,Kepler-1064 b,Kepler-1064,0,Kepler,,,14.5280000,13.9580000
5423,Kepler-1064 b,Kepler-1064,0,Kepler,,,14.5280000,13.9580000
5424,Kepler-1064 b,Kepler-1064,0,Kepler,,,14.5280000,13.9580000
5425,Kepler-1064 b,Kepler-1064,0,Kepler,,,14.5280000,13.9580000
5426,Kepler-1064 b,Kepler-1064,1,Kepler,,,14.5280000,13.9580000
5427,Kepler-1065 b,Kepler-1065,0,Kepler,,,15.0020000,15.7440000
5428,Kepler-1065 b,Kepler-1065,0,Kepler,,-0.116,15.0020000,15.7440000
5429,Kepler-1065 b,Kepler-1065,0,Kepler,,,15.0020000,15.7440000
5430,Kepler-1065 b,Kepler-1065,0,Kepler,,,15.0020000,15.7440000
5431,Kepler-1065 b,Kepler-1065,0,Kepler,,-0.116,15.0020000,15.7440000
5432,Kepler-1065 b,Kepler-1065,0,Kepler,,,15.0020000,15.7440000
5433,Kepler-1065 b,Kepler-1065,0,Kepler,,,15.0020000,15.7440000
5434,Kepler-1065 b,Kepler-1065,1,Kepler,,,15.0020000,15.7440000
5435,Kepler-1065 b,Kepler-1065,0,Kepler,,-0.116,15.0020000,15.7440000
5436,Kepler-1065 b,Kepler-1065,0,Kepler,,,15.0020000,15.7440000
5437,Kepler-1065 c,Kepler-1065,0,Kepler,,,15.0020000,15.7440000
5438,Kepler-1065 c,Kepler-1065,0,Kepler,,,15.0020000,15.7440000
5439,Kepler-1065 c,Kepler-1065,0,Kepler,,,15.0020000,15.7440000
5440,Kepler-1065 c,Kepler-1065,1,Kepler,,,15.0020000,15.7440000
5441,Kepler-1065 c,Kepler-1065,0,Kepler,,,15.0020000,15.7440000
5442,Kepler-1065 c,Kepler-1065,0,Kepler,,-0.116,15.0020000,15.7440000
5443,Kepler-1065 c,Kepler-1065,0,Kepler,,,15.0020000,15.7440000
5444,Kepler-1066 b,Kepler-1066,0,Kepler,,-0.190,14.0420000,13.1150000
5445,Kepler-1066 b,Kepler-1066,0,Kepler,,-0.190,14.0420000,13.1150000
5446,Kepler-1066 b,Kepler-1066,0,Kepler,,,14.0420000,13.1150000
5447,Kepler-1066 b,Kepler-1066,0,Kepler,,,14.0420000,13.1150000
5448,Kepler-1066 b,Kepler-1066,0,Kepler,,,14.0420000,13.1150000
5449,Kepler-1066 b,Kepler-1066,0,Kepler,,,14.0420000,13.1150000
5450,Kepler-1066 b,Kepler-1066,1,Kepler,,,14.0420000,13.1150000
5451,Kepler-1066 b,Kepler-1066,0,Kepler,,,14.0420000,13.1150000
5452,Kepler-1066 b,Kepler-1066,0,Kepler,,,14.0420000,13.1150000
5453,Kepler-1066 b,Kepler-1066,0,Kepler,,-0.190,14.0420000,13.1150000
5454,Kepler-1067 b,Kepler-1067,0,Kepler,,-0.147,14.9720000,14.3950000
5455,Kepler-1067 b,Kepler-1067,0,Kepler,,,14.9720000,14.3950000
5456,Kepler-1067 b,Kepler-1067,0,Kepler,,,14.9720000,14.3950000
5457,Kepler-1067 b,Kepler-1067,0,Kepler,,,14.9720000,14.3950000
5458,Kepler-1067 b,Kepler-1067,0,Kepler,,,14.9720000,14.3950000
5459,Kepler-1067 b,Kepler-1067,0,Kepler,,-0.147,14.9720000,14.3950000
5460,Kepler-1067 b,Kepler-1067,0,Kepler,,,14.9720000,14.3950000
5461,Kepler-1067 b,Kepler-1067,1,Kepler,,,14.9720000,14.3950000
5462,Kepler-1068 b,Kepler-1068,0,Kepler,,,16.1040000,16.0960000
5463,Kepler-1068 b,Kepler-1068,0,Kepler,,,16.1040000,16.0960000
5464,Kepler-1068 b,Kepler-1068,0,Kepler,,-0.025,16.1040000,16.0960000
5465,Kepler-1068 b,Kepler-1068,0,Kepler,,,16.1040000,16.0960000
5466,Kepler-1068 b,Kepler-1068,0,Kepler,,-0.025,16.1040000,16.0960000
5467,Kepler-1068 b,Kepler-1068,0,Kepler,,,16.1040000,16.0960000
5468,Kepler-1068 b,Kepler-1068,1,Kepler,,,16.1040000,16.0960000
5469,Kepler-1068 b,Kepler-1068,0,Kepler,,-0.025,16.1040000,16.0960000
5470,Kepler-1068 b,Kepler-1068,0,Kepler,,,16.1040000,16.0960000
5471,Kepler-1068 b,Kepler-1068,0,Kepler,,,16.1040000,16.0960000
5472,Kepler-1069 b,Kepler-1069,0,Kepler,,,14.1570000,13.2340000
5473,Kepler-1069 b,Kepler-1069,0,Kepler,,,14.1570000,13.2340000
5474,Kepler-1069 b,Kepler-1069,0,Kepler,,,14.1570000,13.2340000
5475,Kepler-1069 b,Kepler-1069,0,Kepler,,0.372,14.1570000,13.2340000
5476,Kepler-1069 b,Kepler-1069,0,Kepler,,,14.1570000,13.2340000
5477,Kepler-1069 b,Kepler-1069,0,Kepler,,0.372,14.1570000,13.2340000
5478,Kepler-1069 b,Kepler-1069,0,Kepler,,,14.1570000,13.2340000
5479,Kepler-1069 b,Kepler-1069,0,Kepler,,,14.1570000,13.2340000
5480,Kepler-1069 b,Kepler-1069,0,Kepler,,0.372,14.1570000,13.2340000
5481,Kepler-1069 b,Kepler-1069,1,Kepler,,,14.1570000,13.2340000
5482,Kepler-107 b,Kepler-107,0,Kepler,,,13.3300000,12.5430000
5483,Kepler-107 b,Kepler-107,0,Kepler,,,13.3300000,12.5430000
5484,Kepler-107 b,Kepler-107,0,Kepler,,0.364,13.3300000,12.5430000
5485,Kepler-107 b,Kepler-107,0,Kepler,,0.364,13.3300000,12.5430000
5486,Kepler-107 b,Kepler-107,0,Kepler,,,13.3300000,12.5430000
5487,Kepler-107 b,Kepler-107,0,Kepler,,,13.3300000,12.5430000
5488,Kepler-107 b,Kepler-107,0,Kepler,,,13.3300000,12.5430000
5489,Kepler-107 b,Kepler-107,0,Kepler,,,13.3300000,12.5430000
5490,Kepler-107 b,Kepler-107,0,Kepler,,0.364,13.3300000,12.5430000
5491,Kepler-107 b,Kepler-107,0,Kepler,,,13.3300000,12.5430000
5492,Kepler-107 b,Kepler-107,0,Kepler,,0.364,13.3300000,12.5430000
5493,Kepler-107 b,Kepler-107,1,Kepler,,,13.3300000,12.5430000
5494,Kepler-107 b,Kepler-107,0,Kepler,,,13.3300000,12.5430000
5495,Kepler-107 c,Kepler-107,0,Kepler,,,13.3300000,12.5430000
5496,Kepler-107 c,Kepler-107,0,Kepler,,,13.3300000,12.5430000
5497,Kepler-107 c,Kepler-107,0,Kepler,,0.364,13.3300000,12.5430000
5498,Kepler-107 c,Kepler-107,0,Kepler,,,13.3300000,12.5430000
5499,Kepler-107 c,Kepler-107,0,Kepler,,0.364,13.3300000,12.5430000
5500,Kepler-107 c,Kepler-107,0,Kepler,,0.364,13.3300000,12.5430000
5501,Kepler-107 c,Kepler-107,0,Kepler,,0.364,13.3300000,12.5430000
5502,Kepler-107 c,Kepler-107,0,Kepler,,,13.3300000,12.5430000
5503,Kepler-107 c,Kepler-107,1,Kepler,,,13.3300000,12.5430000
5504,Kepler-107 c,Kepler-107,0,Kepler,,,13.3300000,12.5430000
5505,Kepler-107 c,Kepler-107,0,Kepler,,,13.3300000,12.5430000
5506,Kepler-107 c,Kepler-107,0,Kepler,,,13.3300000,12.5430000
5507,Kepler-107 c,Kepler-107,0,Kepler,,,13.3300000,12.5430000
5508,Kepler-107 d,Kepler-107,0,Kepler,,,13.3300000,12.5430000
5509,Kepler-107 d,Kepler-107,0,Kepler,,0.364,13.3300000,12.5430000
5510,Kepler-107 d,Kepler-107,0,Kepler,,,13.3300000,12.5430000
5511,Kepler-107 d,Kepler-107,0,Kepler,,0.364,13.3300000,12.5430000
5512,Kepler-107 d,Kepler-107,0,Kepler,,,13.3300000,12.5430000
5513,Kepler-107 d,Kepler-107,1,Kepler,,,13.3300000,12.5430000
5514,Kepler-107 d,Kepler-107,0,Kepler,,,13.3300000,12.5430000
5515,Kepler-107 d,Kepler-107,0,Kepler,,,13.3300000,12.5430000
5516,Kepler-107 d,Kepler-107,0,Kepler,,0.364,13.3300000,12.5430000
5517,Kepler-107 d,Kepler-107,0,Kepler,,,13.3300000,12.5430000
5518,Kepler-107 d,Kepler-107,0,Kepler,,,13.3300000,12.5430000
5519,Kepler-107 d,Kepler-107,0,Kepler,,,13.3300000,12.5430000
5520,Kepler-107 e,Kepler-107,0,Kepler,,,13.3300000,12.5430000
5521,Kepler-107 e,Kepler-107,0,Kepler,,,13.3300000,12.5430000
5522,Kepler-107 e,Kepler-107,0,Kepler,,,13.3300000,12.5430000
5523,Kepler-107 e,Kepler-107,0,Kepler,,0.364,13.3300000,12.5430000
5524,Kepler-107 e,Kepler-107,0,Kepler,,,13.3300000,12.5430000
5525,Kepler-107 e,Kepler-107,0,Kepler,,0.364,13.3300000,12.5430000
5526,Kepler-107 e,Kepler-107,0,Kepler,,,13.3300000,12.5430000
5527,Kepler-107 e,Kepler-107,1,Kepler,,,13.3300000,12.5430000
5528,Kepler-107 e,Kepler-107,0,Kepler,,0.364,13.3300000,12.5430000
5529,Kepler-107 e,Kepler-107,0,Kepler,,,13.3300000,12.5430000
5530,Kepler-107 e,Kepler-107,0,Kepler,,,13.3300000,12.5430000
5531,Kepler-107 e,Kepler-107,0,Kepler,,0.364,13.3300000,12.5430000
5532,Kepler-107 e,Kepler-107,0,Kepler,,,13.3300000,12.5430000
5533,Kepler-1070 b,Kepler-1070,0,Kepler,,,14.6660000,14.1330000
5534,Kepler-1070 b,Kepler-1070,1,Kepler,,,14.6660000,14.1330000
5535,Kepler-1070 b,Kepler-1070,0,Kepler,,0.285,14.6660000,14.1330000
5536,Kepler-1070 b,Kepler-1070,0,Kepler,,,14.6660000,14.1330000
5537,Kepler-1070 b,Kepler-1070,0,Kepler,,0.285,14.6660000,14.1330000
5538,Kepler-1070 b,Kepler-1070,0,Kepler,,,14.6660000,14.1330000
5539,Kepler-1070 b,Kepler-1070,0,Kepler,,,14.6660000,14.1330000
5540,Kepler-1070 b,Kepler-1070,0,Kepler,,0.285,14.6660000,14.1330000
5541,Kepler-1070 b,Kepler-1070,0,Kepler,,,14.6660000,14.1330000
5542,Kepler-1070 b,Kepler-1070,0,Kepler,,,14.6660000,14.1330000
5543,Kepler-1071 b,Kepler-1071,0,Kepler,,,16.5250000,15.8810000
5544,Kepler-1071 b,Kepler-1071,0,Kepler,,-0.313,16.5250000,15.8810000
5545,Kepler-1071 b,Kepler-1071,0,Kepler,,,16.5250000,15.8810000
5546,Kepler-1071 b,Kepler-1071,1,Kepler,,,16.5250000,15.8810000
5547,Kepler-1071 b,Kepler-1071,0,Kepler,,,16.5250000,15.8810000
5548,Kepler-1071 b,Kepler-1071,0,Kepler,,,16.5250000,15.8810000
5549,Kepler-1071 b,Kepler-1071,0,Kepler,,,16.5250000,15.8810000
5550,Kepler-1071 b,Kepler-1071,0,Kepler,,,16.5250000,15.8810000
5551,Kepler-1071 b,Kepler-1071,0,Kepler,,-0.313,16.5250000,15.8810000
5552,Kepler-1071 b,Kepler-1071,0,Kepler,,-0.313,16.5250000,15.8810000
5553,Kepler-1072 b,Kepler-1072,0,Kepler,,,14.6620000,13.9720000
5554,Kepler-1072 b,Kepler-1072,0,Kepler,,,14.6620000,13.9720000
5555,Kepler-1072 b,Kepler-1072,0,Kepler,,0.365,14.6620000,13.9720000
5556,Kepler-1072 b,Kepler-1072,0,Kepler,,,14.6620000,13.9720000
5557,Kepler-1072 b,Kepler-1072,0,Kepler,,,14.6620000,13.9720000
5558,Kepler-1072 b,Kepler-1072,0,Kepler,,,14.6620000,13.9720000
5559,Kepler-1072 b,Kepler-1072,0,Kepler,,,14.6620000,13.9720000
5560,Kepler-1072 b,Kepler-1072,1,Kepler,,,14.6620000,13.9720000
5561,Kepler-1072 b,Kepler-1072,0,Kepler,,0.365,14.6620000,13.9720000
5562,Kepler-1073 b,Kepler-1073,0,Kepler,,,15.4050000,14.7490000
5563,Kepler-1073 b,Kepler-1073,0,Kepler,,,15.4050000,14.7490000
5564,Kepler-1073 b,Kepler-1073,0,Kepler,,,15.4050000,14.7490000
5565,Kepler-1073 b,Kepler-1073,0,Kepler,,-0.010,15.4050000,14.7490000
5566,Kepler-1073 b,Kepler-1073,0,Kepler,,,15.4050000,14.7490000
5567,Kepler-1073 b,Kepler-1073,0,Kepler,,-0.010,15.4050000,14.7490000
5568,Kepler-1073 b,Kepler-1073,1,Kepler,,,15.4050000,14.7490000
5569,Kepler-1073 b,Kepler-1073,0,Kepler,,,15.4050000,14.7490000
5570,Kepler-1073 b,Kepler-1073,0,Kepler,,-0.010,15.4050000,14.7490000
5571,Kepler-1073 b,Kepler-1073,0,Kepler,,,15.4050000,14.7490000
5572,Kepler-1073 c,Kepler-1073,0,Kepler,,-0.010,15.4050000,14.7490000
5573,Kepler-1073 c,Kepler-1073,1,Kepler,,,15.4050000,14.7490000
5574,Kepler-1073 c,Kepler-1073,0,Kepler,,,15.4050000,14.7490000
5575,Kepler-1073 c,Kepler-1073,0,Kepler,,,15.4050000,14.7490000
5576,Kepler-1073 c,Kepler-1073,0,Kepler,,-0.010,15.4050000,14.7490000
5577,Kepler-1073 c,Kepler-1073,0,Kepler,,,15.4050000,14.7490000
5578,Kepler-1073 c,Kepler-1073,0,Kepler,,,15.4050000,14.7490000
5579,Kepler-1073 c,Kepler-1073,0,Kepler,,,15.4050000,14.7490000
5580,Kepler-1074 b,Kepler-1074,0,Kepler,,-1.121,17.2800000,15.5990000
5581,Kepler-1074 b,Kepler-1074,0,Kepler,,,17.2800000,15.5990000
5582,Kepler-1074 b,Kepler-1074,0,Kepler,,,17.2800000,15.5990000
5583,Kepler-1074 b,Kepler-1074,0,Kepler,,,17.2800000,15.5990000
5584,Kepler-1074 b,Kepler-1074,0,Kepler,,,17.2800000,15.5990000
5585,Kepler-1074 b,Kepler-1074,0,Kepler,,,17.2800000,15.5990000
